Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
2022-10-13 12:21:52.214079,400.0,404.94781303377135,396.47869540021765,398.1504261667168,4862548,0.0,1,AUTO_A
2022-10-14 12:21:52.214079,398.1504261667168,400.1480341797897,379.4475779274525,379.8955822944846,4943883,0.5,1,AUTO_A
2022-10-17 12:21:52.214079,379.8955822944846,384.48447393074633,377.1281416899752,379.9984918284277,8459763,0.0,1,AUTO_A
2022-10-18 12:21:52.214079,379.9984918284277,385.84648991359757,376.8464079545738,385.623603950736,7345692,0.0,1,AUTO_A
2022-10-19 12:21:52.214079,385.623603950736,394.21514765661135,384.20322607975356,391.18435536510856,6194213,0.5,1,AUTO_A
2022-10-20 12:21:52.214079,391.18435536510856,395.3371306811815,382.19549718762255,386.9721163398432,9587022,0.5,1,AUTO_A
2022-10-21 12:21:52.214079,386.9721163398432,392.8474792451086,385.7122883424876,391.9849907341948,4076788,0.0,1,AUTO_A
2022-10-24 12:21:52.214079,391.9849907341948,392.69074383162393,381.88203997435176,382.10417507044093,4832036,0.0,1,AUTO_A
2022-10-25 12:21:52.214079,382.10417507044093,382.85689912619563,372.8749712029213,382.32872134037245,5854371,0.0,1,AUTO_A
2022-10-26 12:21:52.214079,382.32872134037245,389.692019376572,380.4536113521391,382.3755298522803,7690472,0.0,1,AUTO_A
2022-10-27 12:21:52.214079,382.3755298522803,389.19134354005627,381.522663742251,384.22340654253844,1294609,0.0,1,AUTO_A
2022-10-28 12:21:52.214079,384.22340654253844,389.5345012936581,382.3776698464903,386.0080051847921,7475387,0.0,1,AUTO_A
2022-10-31 12:21:52.214079,386.0080051847921,388.9192310885171,382.4806822156773,385.114329358339,4403385,0.0,1,AUTO_A
2022-11-01 12:21:52.214079,385.114329358339,385.2171011630414,371.5087201829334,374.1376740948365,5702640,0.0,1,AUTO_A
2022-11-02 12:21:52.214079,374.1376740948365,386.4657886859455,370.2411557612537,382.0644612402252,2703117,0.0,1,AUTO_A
2022-11-03 12:21:52.214079,382.0644612402252,383.67198478495504,379.38015481357587,383.36888005492614,6449183,0.0,1,AUTO_A
2022-11-04 12:21:52.214079,383.36888005492614,399.3939103198174,382.14144979698295,398.6277786251105,9626667,0.5,1,AUTO_A
2022-11-07 12:21:52.214079,398.6277786251105,400.3314264694645,389.129479952899,393.8098510336018,1469001,0.0,1,AUTO_A
2022-11-08 12:21:52.214079,393.8098510336018,404.5166755882632,385.30893408719237,399.51662611522516,2101283,0.0,1,AUTO_A
2022-11-09 12:21:52.214079,399.51662611522516,401.0096427621863,381.5709207674514,383.68383954202983,8391626,0.5,1,AUTO_A
2022-11-10 12:21:52.214079,383.68383954202983,388.45118976688957,382.69025634196055,387.418635227957,2660390,0.5,1,AUTO_A
2022-11-11 12:21:52.214079,387.418635227957,394.8093455059242,372.4911682479882,374.0289324786275,5001228,0.0,1,AUTO_A
2022-11-14 12:21:52.214079,374.0289324786275,385.0453651552851,372.2342355429036,384.4029639945374,9988248,0.0,1,AUTO_A
2022-11-15 12:21:52.214079,384.4029639945374,387.5868468100965,378.61785773487173,382.02994992379695,1178188,0.0,1,AUTO_A
2022-11-16 12:21:52.214079,382.02994992379695,390.69732113524014,375.44739804093166,386.7965497694312,7153052,0.0,1,AUTO_A
2022-11-17 12:21:52.214079,386.7965497694312,393.15533193720483,385.48501391332417,389.367879392626,9627199,0.0,1,AUTO_A
2022-11-18 12:21:52.214079,389.367879392626,398.20326790292665,389.0312419675633,396.67702921964616,7859806,0.0,1,AUTO_A
2022-11-21 12:21:52.214079,396.67702921964616,399.34068326231767,391.5945471146834,391.75105354853554,5957853,0.0,1,AUTO_A
2022-11-22 12:21:52.214079,391.75105354853554,394.6296847283317,376.394172408768,380.5601339175028,8844374,0.5,1,AUTO_A
2022-11-23 12:21:52.214079,380.5601339175028,381.08788701002993,376.99517299807866,380.66508702628647,4651785,0.0,1,AUTO_A
2022-11-24 12:21:52.214079,380.66508702628647,385.49565316931654,375.67057502654643,380.685747357789,7598976,0.0,1,AUTO_A
2022-11-25 12:21:52.214079,380.685747357789,383.2416696574217,378.9679683388916,380.42937001837265,9543950,0.0,1,AUTO_A
2022-11-28 12:21:52.214079,380.42937001837265,387.1654117390639,374.86873591673253,379.1683009727646,9232218,0.0,1,AUTO_A
2022-11-29 12:21:52.214079,379.1683009727646,382.16988539918935,376.646422060011,379.7630154011462,6837073,0.0,1,AUTO_A
